plotID,collectDate,taxonID,count
BART_002,2016-05-10,PTEPEN,1
BART_002,2016-05-10,PTEROS,1
BART_002,2016-05-10,SPHSTE3,2
BART_002,2016-05-24,PTELAC2,1
BART_002,2016-05-24,PTEPEN,1
BART_002,2016-05-24,SPHSTE3,1
BART_002,2016-06-07,PTEROS,1
BART_002,2016-06-21,CHLEMA,1
BART_002,2016-06-21,CYMNEG,1
BART_002,2016-06-21,PTECOR1,1
BART_002,2016-06-21,PTEPEN,1
BART_002,2016-07-05,PTECOR1,1
BART_002,2016-07-05,SPHSTE3,1
BART_002,2016-07-05,SYNIMP,1
BART_002,2016-07-19,CYMCRI,1
BART_002,2016-07-19,CYMNEG,1
BART_002,2016-07-19,PTEROS,1
BART_002,2016-07-19,SPHCAN,1
BART_002,2016-08-02,SYNIMP,1
BART_002,2016-08-16,CYMCRI,1
BART_002,2016-08-16,PTETRI3,1
BART_002,2016-08-30,CYMPLA2,1
BART_002,2016-08-30,PTEADO,2
BART_002,2016-08-30,PTECOR1,1
BART_002,2016-09-13,CYMCRI,1
BART_002,2016-09-13,PTECOR1,1
BART_002,2016-09-13,PTETRI3,1
BART_002,2017-05-17,SPHSTE1,1
BART_002,2017-05-31,PTEPEN,1
BART_002,2017-06-14,PTECOR1,1
BART_002,2017-06-14,PTEROS,1
BART_002,2017-06-14,SPHSTE1,1
BART_002,2017-06-28,PTETRI3,1
BART_002,2017-06-28,SPHCAN1,1
BART_002,2017-07-12,PTEADO,1
BART_002,2017-07-12,PTEROS,1
BART_002,2017-07-12,PTETRI3,1
BART_002,2017-07-26,PTEADO,1
BART_002,2017-07-26,PTEROS,1
BART_002,2017-07-26,SYNIMP,1
BART_002,2017-08-09,CYMCRI,1
BART_002,2017-08-09,PTEADO,1
BART_002,2017-08-09,PTECOR1,1
BART_002,2017-08-09,SPHCAN1,1
BART_002,2017-08-23,CYMCRI,1
BART_002,2017-08-23,PTEADO,1
BART_002,2017-08-23,PTECOR1,1
BART_002,2017-08-23,SYNIMP,1
BART_002,2017-09-06,PTEROS,1
BART_002,2017-09-06,PTETRI3,1
BART_002,2017-09-20,CYMCRI,1
BART_002,2017-09-20,PTEADO,1
BART_002,2017-09-20,SYNIMP,1
BART_002,2018-05-17,PTEPEN,3
BART_002,2018-05-17,PTEROS,1
BART_002,2018-05-31,PTEPEN,2
BART_002,2018-05-31,PTEROS,2
BART_002,2018-05-31,SPHCAN1,1
BART_002,2018-06-14,PTEADS,1
BART_002,2018-06-14,PTECOR1,1
BART_002,2018-06-28,CYMNEG,1
BART_002,2018-06-28,PTEPEN,2
BART_002,2018-06-28,PTEROS,1
BART_002,2018-07-12,CYMCRI,2
BART_002,2018-07-12,CYMNEG,4
BART_002,2018-07-12,PTEROS,2
BART_002,2018-07-12,PTETRI3,1
BART_002,2018-07-12,SYNIMP,4
BART_002,2018-07-26,CYMCRI,3
BART_002,2018-07-26,CYMNEG,3
BART_002,2018-07-26,PTECOR1,1
BART_002,2018-07-26,PTEPEN,1
BART_002,2018-07-26,PTEROS,1
BART_002,2018-07-26,PTETRI3,3
BART_002,2018-07-26,SPHCAN1,1
BART_002,2018-08-09,CYMCRI,4
BART_002,2018-08-09,CYMNEG,1
BART_002,2018-08-09,PTEPEN,1
BART_002,2018-08-09,PTEROS,3
BART_002,2018-08-09,PTETRI3,7
BART_002,2018-08-23,CYMLIM,1
BART_002,2018-08-23,PTEPEN,1
BART_002,2018-08-23,PTEROS,1
BART_002,2018-08-23,PTETRI3,2
BART_002,2018-09-06,CYMCRI,3
BART_002,2018-09-06,PTECOR1,1
BART_002,2018-09-06,PTEPEN,3
BART_002,2018-09-06,PTEROS,2
BART_002,2018-09-06,PTETRI3,4
BART_002,2018-09-06,SPHSTE1,1
BART_002,2018-09-06,SYNIMP,8
BART_002,2018-09-20,CYMCRI,1
BART_002,2018-09-20,PTEROS,2
BART_002,2018-09-20,PTETRI3,1
BART_002,2019-05-29,PTEPEN,3
BART_002,2019-06-12,PTEPEN,3
BART_002,2019-06-12,PTEROS,4
BART_002,2019-06-12,PTETRI3,2
BART_002,2019-06-26,PTEADO,1
BART_002,2019-06-26,PTECOR1,1
BART_002,2019-06-26,PTELAC2,1
BART_002,2019-06-26,PTEPEN,1
BART_002,2019-06-26,PTEROS,3
BART_002,2019-06-26,SYNIMP,1
BART_002,2019-07-10,CYMNEG,1
BART_002,2019-07-10,PTECOR1,1
BART_002,2019-07-10,PTEPEN,3
BART_002,2019-07-10,PTEROS,8
BART_002,2019-07-10,PTETRI3,2
BART_002,2019-07-10,SYNIMP,2
BART_002,2019-07-24,CYMNEG,1
BART_002,2019-07-24,PTECOR1,1
BART_002,2019-07-24,PTEPEN,2
BART_002,2019-07-24,PTEROS,2
BART_002,2019-07-24,PTETRI3,4
BART_002,2019-07-24,SYNIMP,7
BART_002,2019-08-07,CYMCRI,2
BART_002,2019-08-07,CYMNEG,3
BART_002,2019-08-07,PTEADO,1
BART_002,2019-08-07,PTECOR1,2
BART_002,2019-08-07,PTELAC2,1
BART_002,2019-08-07,PTETRI3,2
BART_002,2019-08-21,CYMNEG,1
BART_002,2019-08-21,PTEADO,2
BART_002,2019-08-21,PTETRI3,1
BART_002,2019-09-04,CYMNEG,1
BART_002,2019-09-04,PTEADO,1
BART_002,2019-09-04,PTEPEN,2
BART_002,2019-09-04,PTETRI3,3
BART_002,2019-09-04,SYNIMP,1
BART_002,2019-09-18,CYMNEG,1
BART_002,2019-09-18,PTEADO,1
BART_002,2019-09-18,PTEPEN,1
BART_002,2019-10-02,PTEROS,1
BART_002,2020-08-05,CYMCRI,3
BART_002,2020-08-05,PTETRI3,2
BART_002,2020-08-19,CYMCRI,4
BART_002,2020-08-19,CYMNEG,1
BART_002,2020-08-19,PTEPEN,1
BART_002,2020-08-19,PTETRI3,1
BART_002,2020-08-19,SYNIMP,9
BART_002,2020-09-02,CYMCRI,8
BART_002,2020-09-02,SYNIMP,3
BART_002,2020-09-16,CYMCRI,4
BART_002,2020-09-16,CYMPLA2,5
BART_002,2020-09-16,PTEADO,1
BART_002,2020-09-16,PTEPEN,1
BART_002,2020-09-16,PTETRI3,1
BART_002,2020-09-16,SYNIMP,2
BART_002,2021-06-02,PTEPEN,6
BART_002,2021-06-02,PTEROS,1
BART_002,2021-06-02,SPHCAN1,1
BART_002,2021-06-16,CYMPLA2,1
BART_002,2021-06-16,PTECOR1,1
BART_002,2021-06-16,PTEPEN,3
BART_002,2021-06-16,PTEROS,5
BART_002,2021-06-30,PTECOR1,1
BART_002,2021-06-30,PTEPEN,1
BART_002,2021-06-30,PTEROS,1
BART_002,2021-07-14,PTEROS,4
BART_002,2021-07-14,SYNIMP,2
BART_002,2021-07-28,CALFRI,1
BART_002,2021-07-28,CYMCRI,1
BART_002,2021-07-28,PTEPEN,1
BART_002,2021-07-28,PTEROS,4
BART_002,2021-07-28,PTETRI3,1
BART_002,2021-07-28,SYNIMP,2
BART_002,2021-08-11,CYMCRI,2
BART_002,2021-08-11,PTELAC2,1
BART_002,2021-08-11,SPHCAN1,1
BART_002,2021-08-11,SYNIMP,1
BART_002,2021-08-25,PTELAC2,1
BART_002,2021-08-25,PTETRI3,1
BART_002,2021-08-25,SYNIMP,4
BART_002,2021-09-08,CYMCRI,3
BART_002,2021-09-08,PTETRI3,1
BART_002,2021-09-08,SYNIMP,1
BART_002,2021-09-22,PTETRI3,1
BART_002,2022-05-25,PTELAC2,2
BART_002,2022-05-25,PTEPEN,1
BART_002,2022-05-25,PTEROS,1
BART_002,2022-05-25,PTETRI3,1
BART_002,2022-05-25,SPHCAN1,1
BART_002,2022-06-08,GASHON,1
BART_002,2022-06-08,PTEPEN,1
BART_002,2022-06-08,PTEROS,2
BART_002,2022-06-22,AGORET,1
BART_002,2022-06-22,CYMCRI,1
BART_002,2022-06-22,CYMNEG,1
BART_002,2022-06-22,PTEPEN,4
BART_002,2022-06-22,PTEROS,3
BART_002,2022-06-22,PTETRI3,1
BART_002,2022-06-22,SPHCAN1,1
BART_002,2022-06-22,SYNIMP,1
BART_002,2022-07-06,CYMCRI,1
BART_002,2022-07-06,PTECOR1,1
BART_002,2022-07-06,PTEPEN,2
BART_002,2022-07-06,PTEROS,6
BART_002,2022-07-06,SPHCAN1,1
BART_002,2022-07-20,CYMCRI,5
BART_002,2022-07-20,CYMNEG,3
BART_002,2022-07-20,PTEADO,1
BART_002,2022-07-20,PTECOR1,2
BART_002,2022-07-20,PTEROS,2
BART_002,2022-07-20,SPHCAN1,1
BART_002,2022-08-03,CYMCRI,8
BART_002,2022-08-03,CYMNEG,1
BART_002,2022-08-03,PTECOR1,3
BART_002,2022-08-03,PTEROS,2
BART_002,2022-08-03,PTETRI3,5
BART_002,2022-08-03,SPHCAN1,1
BART_002,2022-08-17,CARSER,4
BART_002,2022-08-17,CYMCRI,9
BART_002,2022-08-17,PTEADO,2
BART_002,2022-08-17,PTEPEN,1
BART_002,2022-08-17,PTETRI3,5
BART_002,2022-08-31,PTEPEN,1
BART_002,2022-08-31,PTETRI3,8
BART_002,2022-09-14,CYMCRI,1
BART_002,2022-09-14,CYMPLA2,1
BART_002,2022-09-14,PTEROS,1
BART_002,2022-09-14,PTETRI3,2
BART_002,2022-09-14,SYNIMP,3
BART_002,2023-05-17,PTEPEN,9
BART_002,2023-05-17,PTEROS,1
BART_002,2023-05-31,PTELAC2,1
BART_002,2023-05-31,PTEPEN,1
BART_002,2023-05-31,PTEROS,4
BART_002,2023-05-31,PTESTY,1
BART_002,2023-05-31,PTETRI3,2
BART_002,2023-06-14,PTELAC2,1
BART_002,2023-06-14,PTEPEN,3
BART_002,2023-06-14,PTEROS,3
BART_002,2023-06-14,PTETRI3,2
BART_002,2023-06-28,CYMCRI,1
BART_002,2023-06-28,PTECOR1,2
BART_002,2023-06-28,PTEPEN,2
BART_002,2023-06-28,PTEROS,6
BART_002,2023-06-28,PTETRI3,2
BART_002,2023-06-28,SPHCAN1,1
BART_002,2023-06-28,SYNIMP,6
BART_002,2023-07-12,PTECOR1,3
BART_002,2023-07-12,PTELAC2,1
BART_002,2023-07-12,PTEPEN,2
BART_002,2023-07-12,PTEROS,5
BART_002,2023-07-12,PTETRI3,4
BART_002,2023-07-12,SPHCAN1,1
BART_002,2023-07-12,SPHSTE1,1
BART_002,2023-07-26,CYMCRI,1
BART_002,2023-07-26,PTEADO,1
BART_002,2023-07-26,PTELAC2,1
BART_002,2023-07-26,PTEROS,2
BART_002,2023-07-26,PTETRI3,2
BART_002,2023-08-09,PTEROS,1
BART_002,2023-08-09,PTETRI3,5
BART_002,2023-08-23,CYMCRI,1
BART_002,2023-08-23,PTECOR1,1
BART_002,2023-08-23,PTELAC2,1
BART_002,2023-08-23,PTEROS,1
BART_002,2023-08-23,PTETRI3,3
BART_002,2023-09-06,PTECOR1,1
BART_002,2023-09-06,PTEPEN,1
BART_002,2023-09-06,PTEROS,1
BART_002,2023-09-06,PTETRI3,3
BART_002,2023-09-06,SPHSTE1,1
BART_002,2023-09-06,SYNIMP,6
BART_002,2023-09-20,PTETRI3,1
BART_002,2023-09-20,SYNIMP,1
BART_018,2016-05-10,PTEPEN,1
BART_018,2016-05-10,SPHCAN,1
BART_018,2016-05-24,SPHCAN,1
BART_018,2016-06-07,PTECOR1,1
BART_018,2016-06-07,PTEPEN,1
BART_018,2016-06-21,CYMCRI,1
BART_018,2016-06-21,PTEPEN,1
BART_018,2016-07-05,CYMNEG,1
BART_018,2016-07-05,PTEROS,1
BART_018,2016-07-05,PTETRI3,1
BART_018,2016-07-05,SPHCAN,1
BART_018,2016-07-19,SPHCAN,1
BART_018,2016-07-19,SYNIMP,1
BART_018,2016-08-02,PTECOR1,1
BART_018,2016-08-02,PTEROS,1
BART_018,2016-08-02,PTETRI3,1
BART_018,2016-08-02,SPHCAN,1
BART_018,2016-08-16,SYNIMP,1
BART_018,2016-08-30,PTEADO,1
BART_018,2016-09-13,PTEADS,1
BART_018,2016-09-13,PTECOR1,1
BART_018,2016-09-13,PTEPEN,1
BART_018,2016-09-13,PTETRI3,1
BART_018,2017-05-17,PTEPEN,1
