name,pubCode,description,startDate,endDate
bet.cupStatus,Ok,Cup was present during sample collection and appeared correctly installed per the protocol,2012-01-01T00:00:00Z,NA
bet.cupStatus,Disturbed,Indicates a cup that shows clear signs of disturbance,2012-01-01T00:00:00Z,NA
bet.cupStatus,"Disturbed, cup previously flooded",Indicates a cup that shows clear signs of disturbance from flooding; specimens derived from this sample may be atypical,2012-01-01T00:00:00Z,NA
bet.cupStatus,Missing,Indicates cup was missing during sample collection,2012-01-01T00:00:00Z,NA
bet.expertIdentifiers,Kipling Will,Kipling Will,2012-01-01T00:00:00Z,NA
bet.expertIdentifiers,Robert L. Davidson,Robert L. Davidson,2012-01-01T00:00:00Z,NA
bet.expertIdentifiers,M. Andrew Johnston,M. Andrew Johnston,2012-01-01T00:00:00Z,NA
bet.expertIdentifiers,no name provided,no name provided,2012-01-01T00:00:00Z,NA
bet.fluidLevel,High,High,2012-01-01T00:00:00Z,NA
bet.fluidLevel,Low,Low,2012-01-01T00:00:00Z,NA
bet.fluidLevel,Ok,Ok,2012-01-01T00:00:00Z,NA
bet.fluidLevel,None,None,2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Allen, R. T. 1968. A synopsis of the tribe Morionini in the Western Hemisphere with descriptions of two new species. Caribbean Journal of Science 8:141-163.","Allen, R. T. 1968. A synopsis of the tribe Morionini in the Western Hemisphere with descriptions of two new species. Caribbean Journal of Science 8:141-163.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Allen, R. T. 1972. A revision of the genus Loxandrus Leconte (Coleoptera: Carabidae) in North America. Entomologica Americana 46:1-184.","Allen, R. T. 1972. A revision of the genus Loxandrus Leconte (Coleoptera: Carabidae) in North America. Entomologica Americana 46:1-184.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Allen, R. T. 1980. A review of the subtribe Myadi: description of a new genus and species, phylogenetic relationships, and biogeography (Coleoptera: Carabidae: Pterostichini). The Coleopterists Bulletin 34:1-29.","Allen, R. T. 1980. A review of the subtribe Myadi: description of a new genus and species, phylogenetic relationships, and biogeography (Coleoptera: Carabidae: Pterostichini). The Coleopterists Bulletin 34:1-29.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Armstrong, D. M., J. P. Fitzgerald, and C. A. Meaney. 2010. Mammals of Colorado. University Press of Colorado. 2nd Ed. Denver, CO.","Armstrong, D. M., J. P. Fitzgerald, and C. A. Meaney. 2010. Mammals of Colorado. University Press of Colorado. 2nd Ed. Denver, CO.",2012-01-01T00:00:00Z,NA
bet.identificationReferences,"Arnett Jr., R. H., N. M. Downie, and H. E. Jaques. 1980. How to Know the Beetles. 2nd Ed. McGraw-Hill Companies, Boston, MA.","Arnett Jr., R. H., N. M. Downie, and H. E. Jaques. 1980. How to Know the Beetles. 2nd Ed. McGraw-Hill Companies, Boston, MA.",2012-01-01T00:00:00Z,NA
