uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
8695e3ca-89c8-4e47-bc71-8aa2e5cda16e,2023-04-17,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.MXT,NEON.LTR.BART.2022.MXT.CN,A00000154999,vegetation,N,-2.8,-28.7,1.28,51.77,40.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,NA,20251206T063442Z,RELEASE-2026
e3acc996-404a-4c60-ba4e-a160025e0bd4,2023-04-17,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.WDY,NEON.LTR.BART.2022.WDY.CN,A00000154916,vegetation,N,-3.5,-26.6,0.6,51.76,86.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,NA,20251206T063442Z,RELEASE-2026
0ab98c32-10a7-4c0f-a4de-1e963910b602,2023-04-17,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.TWI,NEON.LTR.BART.2022.TWI.CN,A00000154995,vegetation,N,-4,-28.9,0.69,51.97,75.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,NA,20251206T063442Z,RELEASE-2026
f814be0a-6e92-436e-9723-77b980a8f37d,2023-04-17,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.MXT,NEON.LTR.BART.2022.MXT.CN,A00000154999,vegetation,N,-2.8,-28.8,1.27,51.13,40.1,OK,OK,OK,OK,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,NA,20251206T063442Z,RELEASE-2026
77ab18f9-bb8c-4c10-a72d-1284084d6690,2017-03-31,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART073.20161010.NDL,NEON.LTR.BART073.20161010.NDL.CN,NA,vegetation,N,-1.8,-30.6,0.5,51.7,108.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
34f8d2de-e4f9-458a-a423-378614ebd14f,2017-03-30,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART071.20161010.NDL,NEON.LTR.BART071.20161010.NDL.CN,NA,vegetation,N,1.9,-29.7,0.4,52.7,118.1,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
a788977d-8fed-40b7-ac6b-dc33134d913b,2017-03-30,BART_039.basePlot.ltr,D01,BART,BART_039,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART039.20161010.LVS,NEON.LTR.BART039.20161010.LVS.CN,NA,vegetation,N,-2.4,-27.4,0.5,50.4,97.3,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
452938cb-cce7-4a35-9c44-fcf07de07f72,2017-03-30,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART073.20161010.LVS,NEON.LTR.BART073.20161010.LVS.CN,NA,vegetation,N,-3.6,-28.7,0.4,50.3,116.9,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
357432fe-97f5-4d26-9b03-95505775b88b,2017-03-30,BART_039.basePlot.ltr,D01,BART,BART_039,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART039.20161010.NDL,NEON.LTR.BART039.20161010.NDL.CN,NA,vegetation,N,-3.1,-31.5,0.4,51.7,118.4,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
aef80ecc-21d8-4550-8db5-57ed5950ba73,2017-03-30,BART_041.basePlot.ltr,D01,BART,BART_041,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART041.20161010.NDL,NEON.LTR.BART041.20161010.NDL.CN,NA,vegetation,N,-1.7,-28.9,0.5,53.1,107,OK,OK,NA,NA,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",NA,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251204T224617Z,RELEASE-2026
