uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,ligninSampleID,ligninSampleBarcode,analyticalRepNumber,dryMass,ligninPercent,cellulosePercent,measurementQF,accuracyQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release
478503b6-f20a-45e9-aaad-9a641cd23428,2017-08-30,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART073.20161010.NDL,NEON.LTR.BART073.20161010.NDL.LIG,NA,1,0.449,14.21,20.25,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
53ac74b4-5b95-436b-b069-1803912f34f3,2017-08-30,BART_032.basePlot.ltr,D01,BART,BART_032,tower,2016-09-19T16:00:00Z,2016-10-10T16:00:00Z,NEON.LTR.BART032.20161010.LVS,NEON.LTR.BART032.20161010.LVS.LIG,NA,1,0.479,16.84,18.75,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
f226a6bb-7f90-4cd3-aa5c-c1b5aa4d0a8b,2017-08-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.LIG,NA,2,0.473,16.91,20.79,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
22fe2aec-6519-4922-a901-2e331a9984cd,2017-08-30,BART_033.basePlot.ltr,D01,BART,BART_033,tower,2016-09-19T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART033.20161011.LVS,NEON.LTR.BART033.20161011.LVS.LIG,NA,1,0.468,16.86,20.29,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
d9ca082f-258d-4365-9a62-9bec65ec5511,2017-08-30,BART_075.basePlot.ltr,D01,BART,BART_075,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART075.20161011.NDL,NEON.LTR.BART075.20161011.NDL.LIG,NA,1,0.477,13.59,19.34,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
3b7516aa-8633-40c2-8987-6dcc4e5b5bec,2017-08-30,BART_042.basePlot.ltr,D01,BART,BART_042,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART042.20161011.NDL,NEON.LTR.BART042.20161011.NDL.LIG,NA,1,0.467,18.76,22.12,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
44db3494-eea3-4919-b7df-9688c4909120,2017-08-30,BART_075.basePlot.ltr,D01,BART,BART_075,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART075.20161011.LVS,NEON.LTR.BART075.20161011.LVS.LIG,NA,1,0.478,16.27,22.07,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
f24515d8-7253-440b-9912-275ca73de90d,2017-08-30,BART_072.basePlot.ltr,D01,BART,BART_072,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART072.20161011.NDL,NEON.LTR.BART072.20161011.NDL.LIG,NA,1,0.474,12.96,19.54,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
af4f42cc-b153-4937-8571-c69dcea8a5fe,2017-08-30,BART_044.basePlot.ltr,D01,BART,BART_044,tower,2016-09-20T16:00:00Z,2016-10-11T16:00:00Z,NEON.LTR.BART044.20161011.LVS,NEON.LTR.BART044.20161011.LVS.LIG,NA,1,0.468,19.19,20.83,OK,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-M-028,bKF36824dpcABkIQiw5BLQ==,5NMApxg5Cd0pWFY84VRdIg==,NA,20251204T224617Z,RELEASE-2026
e71a22d8-c7da-4606-ae8f-788ab437661f,2023-02-01,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.WDY,NEON.LTR.BART.2022.WDY.LIG,A00000154981,1,0.496,42.7,27.24,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,g2Nnhw2rHMc=,j+NchQmCR3uWeXRzNkSPNw==,NA,20251206T063442Z,RELEASE-2026
0e3fd5ca-865f-4002-a83d-f6f6b6488f4b,2023-02-01,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2021-10-26T16:00:00Z,2022-04-12T16:00:00Z,NEON.LTR.BART.2022.TWI,NEON.LTR.BART.2022.TWI.LIG,A00000154965,1,0.484,40.58,30.68,OK,OK,NA,A and L Great Lakes,SOP APF-10-024,g2Nnhw2rHMc=,j+NchQmCR3uWeXRzNkSPNw==,NA,20251206T063442Z,RELEASE-2026
