uid,namedLocation,domainID,siteID,plotID,subplotID,trapID,decimalLatitude,decimalLongitude,elevation,nlcdClass,plotType,geodeticDatum,coordinateUncertainty,elevationUncertainty,date,samplingProtocolVersion,targetTaxaPresent,trapType,trapPlacement,trapSize,remarks,recordedBy,publicationDate,release
bb813143-03fe-4f4e-bdd0-3da5a3c19f8c,BART_040.basePlot.ltr,D01,BART,BART_040,41_400,BART_040_884,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
7a1f3403-1b11-4436-aea4-119668b14344,BART_047.basePlot.ltr,D01,BART,BART_047,21_400,BART_047_168,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
fc5fcaa2-0b3a-48cf-9f5d-4643638d43f0,BART_047.basePlot.ltr,D01,BART,BART_047,41_400,BART_047_864,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
9ce5bad5-5d87-417f-bc74-9498a4b8b597,BART_073.basePlot.ltr,D01,BART,BART_073,39_400,BART_073_539,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
8c30d907-1230-44a4-a55c-04607496dfaf,BART_073.basePlot.ltr,D01,BART,BART_073,39_400,BART_073_689,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
0997220f-7019-479c-b9bc-c445a130d174,BART_040.basePlot.ltr,D01,BART,BART_040,21_400,BART_040_051,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
b2db9acb-25d4-4b5b-8854-04fc02b3c294,BART_040.basePlot.ltr,D01,BART,BART_040,21_400,BART_040_158,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
a934c0b4-fdc4-4267-b30e-fa6a2e8bcbe6,BART_047.basePlot.ltr,D01,BART,BART_047,41_400,BART_047_847,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
cc3717a5-5922-4a4f-b418-f43e740242f8,BART_047.basePlot.ltr,D01,BART,BART_047,21_400,BART_047_046,44.064968,-71.290855,262.9,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
a75e7560-2318-477b-a8a4-e506ecf4a158,BART_040.basePlot.ltr,D01,BART,BART_040,41_400,BART_040_826,44.06576,-71.29199,260.2,deciduousForest,tower,WGS84,20.1,0.2,2015-05-18,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,gbreault@field-ops.org,20251206T233612Z,RELEASE-2026
ccdd0b84-03f9-4e88-86f6-a61393470738,BART_041.basePlot.ltr,D01,BART,BART_041,39_400,BART_041_694,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
bff6fcc4-2004-46b5-9918-0b71c3925719,BART_034.basePlot.ltr,D01,BART,BART_034,23_400,BART_034_451,44.064284,-71.285608,265.9,mixedForest,tower,WGS84,20.2,0.3,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
05292aae-6c0a-44da-8243-e1e9061a0f59,BART_073.basePlot.ltr,D01,BART,BART_073,23_400,BART_073_428,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,ramundsen@field-ops.org,20251206T233612Z,RELEASE-2026
1820753f-bb9c-419b-90cf-21ba400af3bf,BART_041.basePlot.ltr,D01,BART,BART_041,23_400,BART_041_379,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
e82dc916-b0a1-4016-a27f-c00ccefe7670,BART_033.basePlot.ltr,D01,BART,BART_033,41_400,BART_033_923,44.063198,-71.283663,275.7,deciduousForest,tower,WGS84,20.2,0.2,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
9f82b395-4c31-41b9-afc3-002437c4d6ac,BART_041.basePlot.ltr,D01,BART,BART_041,23_400,BART_041_292,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
dbd33fb7-90d8-4dca-9e78-d8c12e0ba03e,BART_033.basePlot.ltr,D01,BART,BART_033,23_400,BART_033_453,44.063198,-71.283663,275.7,deciduousForest,tower,WGS84,20.2,0.2,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
12955861-5dfc-476f-8950-e1e0bdca17cc,BART_033.basePlot.ltr,D01,BART,BART_033,23_400,BART_033_276,44.063198,-71.283663,275.7,deciduousForest,tower,WGS84,20.2,0.2,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
ffeab928-59a3-40a2-a31b-3de94afb1222,BART_034.basePlot.ltr,D01,BART,BART_034,39_400,BART_034_689,44.064284,-71.285608,265.9,mixedForest,tower,WGS84,20.2,0.3,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,Removed ground litter trap due to incorrect initial deployment.,thillman@battelleecology.org,20251206T233612Z,RELEASE-2026
0fc9c377-9f72-4112-a273-04adab3b0e6a,BART_039.basePlot.ltr,D01,BART,BART_039,41_400,BART_039_930,44.063682,-71.288951,270.8,deciduousForest,tower,WGS84,20.3,0.5,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
804acc8d-d9e4-4e19-82ae-531d048063f4,BART_034.basePlot.ltr,D01,BART,BART_034,23_400,BART_034_261,44.064284,-71.285608,265.9,mixedForest,tower,WGS84,20.2,0.3,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,Removed ground litter trap due to incorrect initial deployment.,jbreault@field-ops.org,20251206T233612Z,RELEASE-2026
3c967220-6a27-45de-aa48-8732afcad9a3,BART_039.basePlot.ltr,D01,BART,BART_039,39_400,BART_039_587,44.063682,-71.288951,270.8,deciduousForest,tower,WGS84,20.3,0.5,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
c6c15fd5-acda-4d4c-a4ea-1c739ed25d44,BART_039.basePlot.ltr,D01,BART,BART_039,41_400,BART_039_905,44.063682,-71.288951,270.8,deciduousForest,tower,WGS84,20.3,0.5,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
23e5ccd8-d2f6-4e94-87c0-db589f622435,BART_033.basePlot.ltr,D01,BART,BART_033,41_400,BART_033_771,44.063198,-71.283663,275.7,deciduousForest,tower,WGS84,20.2,0.2,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
b4a2b326-d70f-4cb5-a3a3-61325e0680f2,BART_039.basePlot.ltr,D01,BART,BART_039,39_400,BART_039_696,44.063682,-71.288951,270.8,deciduousForest,tower,WGS84,20.3,0.5,2015-05-19,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
53ce2311-5e5a-4a3f-aa36-35db700688c6,BART_034.basePlot.ltr,D01,BART,BART_034,39_400,BART_034_531,44.064284,-71.285608,265.9,mixedForest,tower,WGS84,20.2,0.3,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
4feb1aad-12ae-4461-8dcc-88e25f62ac32,BART_041.basePlot.ltr,D01,BART,BART_041,39_400,BART_041_578,44.065342,-71.28561,260.9,deciduousForest,tower,WGS84,20.2,0.4,2015-05-19,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,jamante@neoninc.org,20251206T233612Z,RELEASE-2026
fdc8bd5c-df00-4bea-9096-ca389bcb1958,BART_073.basePlot.ltr,D01,BART,BART_073,23_400,BART_073_409,44.064774,-71.288616,274.9,mixedForest,tower,WGS84,20.1,0.2,2023-05-10,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,ramundsen@field-ops.org,20251206T233612Z,RELEASE-2026
273d2c1c-c3ab-423c-9359-845bfe69d738,BART_032.basePlot.ltr,D01,BART,BART_032,39_400,BART_032_662,44.067467,-71.28758,244.7,deciduousForest,tower,WGS84,20.2,0.3,2015-05-20,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
70558918-3b3b-47f7-bc3f-ebc282583515,BART_042.basePlot.ltr,D01,BART,BART_042,41_400,BART_042_905,44.060194,-71.288052,288.3,deciduousForest,tower,WGS84,20.2,0.2,2015-05-20,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
4cad8232-c08c-42a2-ab43-90feb42f1376,BART_075.basePlot.ltr,D01,BART,BART_075,23_400,BART_075_258,44.059141,-71.286492,297,mixedForest,tower,WGS84,20.3,0.4,2015-05-20,NEON.DOC.001710vB,Y,Ground,Random,1.5,NA,ramundson@field-ops.org,20251206T233612Z,RELEASE-2026
a8365c53-f499-4358-8ca3-449ffea5629c,BART_042.basePlot.ltr,D01,BART,BART_042,39_400,BART_042_587,44.060194,-71.288052,288.3,deciduousForest,tower,WGS84,20.2,0.2,2015-05-20,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
4a2fe846-78a1-4333-8923-781471dab467,BART_032.basePlot.ltr,D01,BART,BART_032,23_400,BART_032_293,44.067467,-71.28758,244.7,deciduousForest,tower,WGS84,20.2,0.3,2015-05-20,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,pnoonan@field-ops.org,20251206T233612Z,RELEASE-2026
1d906c61-f754-4084-9e19-26d64cebd61f,BART_046.basePlot.ltr,D01,BART,BART_046,39_400,BART_046_687,44.059946,-71.285408,303,deciduousForest,tower,WGS84,20.2,0.3,2015-05-20,NEON.DOC.001710vB,Y,Elevated,Random,0.5,NA,ramundson@field-ops.org,20251206T233612Z,RELEASE-2026
