table,fieldName,description,dataType,units,downloadPkg,pubFormat,primaryKey,categoricalCodeName
bet_archivepooling,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
bet_archivepooling,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,N,NA
bet_archivepooling,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
bet_archivepooling,siteID,NEON site code,string,NA,basic,asIs,N,NA
bet_archivepooling,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA
bet_archivepooling,setDate,Date that trap was set,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA
bet_archivepooling,collectDate,Date of the collection event,dateTime,NA,basic,yyyy-MM-dd(floor),N,NA
bet_archivepooling,processingDate,"Date that sample was processed (i.e., sorted or pinned) in the domain lab",dateTime,NA,basic,yyyy-MM-dd(floor),N,NA
bet_archivepooling,subsampleIDList,List of subsampleIDs,string,NA,basic,obfuscate,N,NA
bet_archivepooling,subsampleCode,Barcode of a subsample,string,NA,basic,asIs,N,NA
bet_archivepooling,archiveVialID,Identifier for the vial containing specimens for archive,string,NA,basic,obfuscate,Y,NA
bet_archivepooling,archiveSampleCode,Barcode of archive sample,string,NA,basic,asIs,N,NA
bet_archivepooling,sampleCondition,Condition of a sample,string,NA,basic,LOV,N,bet.sampleCompromised
bet_archivepooling,sampleType,Type of sample,string,NA,basic,LOV,N,bet.sampleType
bet_archivepooling,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,basic,asIs,N,NA
bet_archivepooling,taxonID,"Species code, based on one or more sources",string,NA,basic,asIs,N,NA
bet_archivepooling,recordedBy,An identifier for the technician who recorded the data,string,NA,basic,asIs,N,NA
bet_archivepooling,remarks,Technician notes; free text comments accompanying the record,string,NA,basic,asIs,N,NA
bet_archivepooling,pooledFromMultiplePlots,"Data quality flag indicating when composite samples, pooled samples, or sample mixtures are derived from more than one plot at a site",string,NA,basic,asIs,N,NA
bet_archivepooling,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,basic,asIs,Y,NA
bet_archivepooling,publicationDate,Date of data publication on the NEON data portal,dateTime,NA,appended by stackByTable,NA,N,
bet_archivepooling,release,Identifier for data release,string,NA,appended by stackByTable,NA,N,
bet_bycatchIDHistory,uid,Unique ID within NEON database; an identifier for the record,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,identificationTable,The table(s) containing the record to which this identification history applies,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,domainID,Unique identifier of the NEON domain,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,siteID,NEON site code,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,namedLocation,Name of the measurement location in the NEON database,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,identificationHistoryID,Identifier for linking records related to this identification history,string,NA,expanded,asIs,Y,NA
bet_bycatchIDHistory,identifiedDate,"Date on which the sample, individual, or specimen was identified",dateTime,NA,expanded,yyyy-MM-dd(floor),Y,NA
bet_bycatchIDHistory,endDate,The end date-time or interval during which an event occurred,dateTime,NA,expanded,yyyy-MM-dd(floor),N,NA
bet_bycatchIDHistory,scientificName,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined",string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,taxonID,"Species code, based on one or more sources",string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,expanded,LOV,N,identificationQualifiersExpert
bet_bycatchIDHistory,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",string,NA,expanded,LOV,N,bet.identificationReferences
bet_bycatchIDHistory,identificationRemarks,Comments or notes about the identification,string,NA,expanded,LOV,N,identificationRemarks
bet_bycatchIDHistory,remarks,Technician notes; free text comments accompanying the record,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,identifiedBy,An identifier for the technician who identified the specimen,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,laboratoryName,Name of the laboratory or facility that is processing the sample,string,NA,expanded,asIs,N,NA
bet_bycatchIDHistory,dataQF,Data quality flag,string,NA,expanded,asIs,N,NA
bet_expertTaxonomistIDProcessed,uid,Unique ID within NEON database; an identifier for the record,string,NA,basic,asIs,N,NA
bet_expertTaxonomistIDProcessed,namedLocation,Name of the measurement location in the NEON database,string,NA,basic,asIs,N,NA
bet_expertTaxonomistIDProcessed,domainID,Unique identifier of the NEON domain,string,NA,basic,asIs,N,NA
bet_expertTaxonomistIDProcessed,siteID,NEON site code,string,NA,basic,asIs,N,NA
bet_expertTaxonomistIDProcessed,plotID,Plot identifier (NEON site code_XXX),string,NA,basic,asIs,N,NA
